PRES hPa,HGHT m,TEMP C,DWPT C,RELH %,MIXR g/kg,DRCT deg,SPED m/s,THTA K,THTE K,THTV K
856.3,1474,10.8,-7.9,26,2.46,309,1.5,296.8,304.5,297.3
855.5,1487,10.5,-8.7,25,2.32,298,4.2,296.6,303.8,297
854.6,1494,10.3,-9.5,24,2.17,298,4.2,296.4,303.2,296.8
853.8,1502,10,-10.4,23,2.03,298,4.2,296.3,302.6,296.6
853,1509,9.8,-11.3,21,1.89,298,4.2,296.1,302,296.4
852.1,1516,9.5,-12.2,20,1.76,298,4.2,295.9,301.4,296.2
851.3,1524,9.3,-13.2,19,1.63,298,4.2,295.7,300.8,296
850.6,1530,9.1,-14,18,1.52,299,4.1,295.6,300.5,295.9
850,1537,9.1,-14,18,1.52,300,4,295.6,300.5,295.9
849.1,1545,9,-14,18,1.52,302,3.8,295.6,300.4,295.9
848.4,1552,8.9,-14,18,1.52,303,3.7,295.6,300.4,295.9
847.7,1558,8.8,-14,18,1.52,304,3.6,295.6,300.4,295.9
847,1565,8.8,-14,18,1.52,306,3.5,295.6,300.4,295.9
846.2,1572,8.7,-14,18,1.52,307,3.3,295.6,300.4,295.9
845.5,1579,8.6,-14,19,1.53,309,3.2,295.6,300.4,295.9
844.7,1586,8.5,-14,19,1.53,310,3.1,295.6,300.4,295.9
844,1594,8.4,-14.1,19,1.53,311,3.1,295.6,300.4,295.8
843.2,1602,8.4,-14.1,19,1.53,311,3.1,295.6,300.4,295.9
842.4,1610,8.3,-14.1,19,1.53,312,3.2,295.6,300.4,295.8
841.8,1618,8.2,-14.1,19,1.53,312,3.2,295.6,300.4,295.8
841.2,1624,8.2,-14.1,19,1.53,312,3.2,295.5,300.4,295.8
840.6,1630,8.1,-14.1,19,1.53,313,3.2,295.5,300.4,295.8
840,1635,8,-14.1,19,1.53,313,3.3,295.5,300.4,295.8
839.4,1641,8,-14.1,19,1.53,314,3.3,295.5,300.4,295.8
838.7,1646,7.9,-14.1,19,1.53,314,3.3,295.5,300.4,295.8
838.2,1652,7.8,-14.1,19,1.53,314,3.3,295.5,300.4,295.8
837.7,1657,7.8,-14.1,20,1.53,315,3.3,295.5,300.3,295.8
837.1,1662,7.7,-14.1,20,1.53,315,3.4,295.5,300.3,295.8
836.6,1667,7.6,-14.1,20,1.53,316,3.4,295.5,300.3,295.7
836.1,1673,7.6,-14.1,20,1.54,316,3.4,295.4,300.3,295.7
835.5,1678,7.5,-14.1,20,1.54,316,3.5,295.4,300.3,295.7
835,1683,7.4,-14.1,20,1.54,316,3.5,295.4,300.3,295.7
834.5,1688,7.4,-14.1,20,1.54,316,3.5,295.4,300.3,295.7
833.9,1693,7.3,-14.1,20,1.54,316,3.6,295.4,300.3,295.7
833.4,1698,7.3,-14.1,20,1.54,317,3.6,295.4,300.3,295.7
832.9,1704,7.2,-14.1,20,1.54,317,3.6,295.4,300.3,295.7
832.4,1709,7.2,-14.1,20,1.54,317,3.7,295.4,300.2,295.7
831.8,1714,7.1,-14.1,20,1.54,317,3.7,295.4,300.3,295.7
831.2,1719,7.1,-14.1,20,1.54,317,3.7,295.4,300.3,295.7
830.6,1725,7,-14.1,20,1.54,317,3.8,295.4,300.3,295.7
830,1731,7,-14.1,21,1.54,317,3.8,295.4,300.3,295.7
829.5,1737,6.9,-14.1,21,1.54,318,3.9,295.4,300.3,295.7
828.9,1743,6.9,-14.2,21,1.54,318,3.9,295.4,300.3,295.7
828.3,1749,6.8,-14.2,21,1.54,318,3.9,295.4,300.3,295.7
827.7,1755,6.8,-14.2,21,1.54,318,4,295.4,300.3,295.7
827,1761,6.7,-14.2,21,1.54,318,4,295.5,300.3,295.7
826.4,1767,6.7,-14.2,21,1.54,319,4,295.5,300.4,295.8
825.8,1774,6.6,-14.2,21,1.54,320,4,295.5,300.4,295.8
825.2,1780,6.6,-14.2,21,1.54,321,4,295.5,300.4,295.8
824.6,1786,6.5,-14.2,21,1.54,322,4,295.5,300.4,295.8
824.1,1792,6.4,-14.2,21,1.54,323,4,295.5,300.4,295.8
823.5,1797,6.4,-14.2,21,1.54,324,4,295.5,300.4,295.8
823.2,1800,6.4,-14.2,21,1.54,324,4,295.5,300.4,295.8
822.4,1808,6.3,-14.2,21,1.54,326,4,295.5,300.4,295.8
821.8,1813,6.2,-14.2,21,1.54,327,4,295.5,300.4,295.8
821.3,1819,6.2,-14.2,22,1.54,328,4,295.5,300.4,295.7
820.7,1824,6.1,-14.2,22,1.55,329,4,295.5,300.4,295.8
820.2,1830,6.1,-14.3,22,1.55,329,4,295.5,300.4,295.7
819.6,1835,6,-14.3,22,1.55,330,4,295.5,300.4,295.8
819.1,1841,5.9,-14.3,22,1.54,331,4,295.5,300.3,295.7
818.5,1846,5.9,-14.3,22,1.55,332,4,295.5,300.4,295.8
818,1852,5.9,-14.3,22,1.55,333,3.9,295.5,300.4,295.8
817.4,1857,5.8,-14.3,22,1.55,334,3.9,295.5,300.4,295.8
816.9,1863,5.8,-14.3,22,1.55,335,3.9,295.5,300.4,295.8
816.3,1868,5.7,-14.3,22,1.55,336,4,295.5,300.4,295.8
815.8,1874,5.7,-14.3,22,1.55,337,4,295.5,300.4,295.8
815.2,1879,5.6,-14.3,22,1.55,337,3.9,295.5,300.4,295.8
814.7,1885,5.6,-14.3,22,1.55,338,3.9,295.5,300.4,295.8
814.2,1890,5.6,-14.3,22,1.55,338,3.8,295.6,300.5,295.8
813.7,1895,5.5,-14.3,22,1.55,338,3.8,295.6,300.5,295.8
813.2,1900,5.5,-14.3,22,1.55,338,3.7,295.6,300.5,295.8
812.7,1905,5.4,-14.3,23,1.55,338,3.7,295.6,300.5,295.9
812.2,1909,5.4,-14.3,23,1.55,339,3.6,295.6,300.5,295.9
811.7,1915,5.3,-14.3,23,1.55,339,3.6,295.6,300.5,295.9
