PRES hPa,HGHT m,TEMP C,DWPT C,RELH %,MIXR g/kg,DRCT deg,SPED m/s,THTA K,THTE K,THTV K
851.2,1474,8.4,-5.4,37,3,337,2.1,294.8,304,295.3
850.8,1477,8.3,-5.9,36,2.88,356,1.4,294.7,303.5,295.3
850.5,1479,8.2,-6.5,35,2.76,356,1.4,294.7,303.1,295.1
850,1483,8,-7.3,33,2.6,356,1.4,294.5,302.5,295
849.8,1486,8,-7.6,32,2.53,356,1.4,294.5,302.3,294.9
849.5,1490,7.9,-8.2,31,2.42,356,1.4,294.4,301.8,294.8
849.1,1494,7.7,-8.8,30,2.31,356,1.4,294.3,301.4,294.7
848.5,1499,7.6,-9.6,28,2.18,360,1.5,294.3,301,294.7
848,1503,7.6,-9.6,28,2.18,2,1.5,294.3,301,294.6
847.5,1508,7.5,-9.6,28,2.17,5,1.6,294.2,300.9,294.6
846.9,1514,7.4,-9.7,29,2.16,8,1.6,294.2,300.9,294.6
846.4,1520,7.3,-9.7,29,2.16,10,1.7,294.2,300.8,294.6
845.9,1526,7.3,-9.8,29,2.15,13,1.8,294.1,300.8,294.5
845.2,1532,7.2,-9.8,29,2.15,15,1.8,294.1,300.7,294.5
844.6,1538,7.1,-9.9,29,2.14,17,1.8,294.1,300.7,294.5
844,1544,7,-9.9,29,2.13,19,1.9,294.1,300.7,294.5
843.4,1550,6.9,-9.9,29,2.13,18,1.9,294.1,300.6,294.4
842.8,1556,6.9,-10,29,2.12,17,1.9,294,300.6,294.4
842.2,1562,6.8,-10,29,2.12,15,1.9,294,300.6,294.4
841.6,1568,6.7,-10.1,29,2.11,14,1.9,294,300.5,294.4
841.1,1573,6.6,-10.1,29,2.11,13,1.8,294,300.5,294.3
840.5,1579,6.6,-10.1,29,2.12,12,1.8,294,300.5,294.3
839.9,1584,6.5,-10,29,2.12,11,1.8,294,300.5,294.3
839.4,1589,6.5,-10,30,2.13,9,1.8,294,300.5,294.3
838.8,1595,6.4,-10,30,2.13,8,1.8,294,300.5,294.3
838.3,1600,6.4,-10,30,2.14,7,1.8,294,300.6,294.3
837.7,1605,6.3,-9.9,30,2.14,6,1.8,294,300.6,294.3
837.2,1611,6.3,-9.9,30,2.15,5,1.8,294,300.6,294.3
836.7,1616,6.2,-9.9,30,2.15,3,1.8,293.9,300.6,294.3
836.1,1621,6.1,-9.9,31,2.16,2,1.8,293.9,300.6,294.3
835.6,1626,6.1,-9.8,31,2.16,1,1.8,293.9,300.6,294.3
835.1,1631,6,-9.8,31,2.17,360,1.9,293.9,300.6,294.3
834.6,1636,6,-9.8,31,2.17,358,1.9,293.9,300.6,294.3
