Target,Weather Balloon Data File,Year,Month,Day,Hour,Minute,Second,Observer Lat,Observer Lon,Observer Alt,Target Lat,Target Lon,Target Alt,RA,Dec,Apparent Alt,Apparent Az,Star Name,Star RA (Equinox of Date corrected for proper motion/aberration/nutation),Star Dec (Equinox of Date corrected for proper motion/aberration/nutation),Star Geometric Alt From Observer Location,Star Geometric Az From Observer Location,Star Geometric Alt From Target Location,Star Geometric Az From Target Location,Target Surface Distance,Target Altitude - Observer Altitude,Flat Earth Rise/Run Angle,Target Refraction,Target Geometric Elevation Globe Prediction,Star Refraction,Star Alt With Refraction Subtracted,Globe Geometric Error (Degrees),Globe Geometric Absolute Error (Degrees),Celestial Theodolite Error (Degrees),Flat Earth Rise/Run Error (Degrees),Flat Earth Absolute Error (Degrees),Globe Geometric Occultation Time Error (Seconds),Celestial Theodolite Occultation Time Error (Seconds),Globe Target Geometric Height Error (meters),Flat Earth Target Height Error (meters),Winner
Weather Balloon,020626UTweatherballoondataTampa.csv,2026,2,6,12,10,26,27.58508,-82.61485,2.0,27.57942,-81.28424,14890.0,,,5.991704446,89.93597996,,,,,,,,131.38,14922.88172797513,6.480037797710539,0.07890541153028607,5.882612138510765,0.14676542356702793,5.814752126474023,-0.10909230748923537,0.10909230748923537,,-0.4883333517105388,0.4883333517105388,,,254.03817188381564,1119.811193241793,Globe Wins!
Weather Balloon,020626UTweatherballoondataTampa.csv,2026,2,6,12,16,10,27.58508,-82.61485,2.0,27.58692,-81.14144,16620.0,,,5.973131859,89.53426012,,,,,,,,145.48,16661.469921534437,6.533624256180521,0.08372320840135217,5.8719481145054875,0.14688956877313064,5.808781754133709,-0.10118374449451295,0.10118374449451295,,-0.5604923971805205,0.5604923971805205,,,261.0208332845463,1423.1626716953817,Globe Wins!
Weather Balloon,020626UTweatherballoondataTampa.csv,2026,2,6,12,18,33,27.58508,-82.61485,2.0,27.58864,-81.09602,17333.0,,,6.009825625,89.44327181,,,,,,,,149.96,17378.284959850746,6.61028171303721,0.08481506444513975,5.92799595030244,0.1456841092184522,5.867126905529128,-0.08182967469755997,0.08182967469755997,,-0.6004560880372098,0.6004560880372098,,,217.68248855231545,1571.6332112359858,Globe Wins!
Weather Balloon,020926UTweatherballoondataTampa.csv,2026,2,9,12,23,23,27.34142,-81.36363,24.56688,27.49878,-81.43428,13700.0,,,36.01774233,338.0957258,,,,,,,,18.78,13704.956659867554,36.11405226238078,0.011349692940697764,35.999825673706496,0.022593178703594674,35.9885821879436,-0.01791665629350092,0.01791665629350092,,-0.09630993238078389,0.09630993238078389,,,9.015480271365174,31.575386097567876,Globe Wins!
Spirit Airlines,010626UTweatherballoondataMiami.csv,2026,1,6,1,11,30,27.06811111,-82.22230556,-1.07,27.2931,-81.9698,10375.54409,136.3476814,47.05211155,,,HIP 44471,136.35831412489154,47.050232709467956,16.23026952926346,44.980545464046855,16.548191727535464,45.09602832977753,35.32,10376.61409,16.371418815209452,0.020111609250307083,16.19979878991631,0.052375747634776815,16.16753465153184,0.030470739347148168,0.030470739347148168,0.17677291232601178,,0.17677291232601178,-11.586,-67.217,20.433255978734103,108.97746814765189,Globe Wins!
Allegiant 453,011626UTweatherballoondataMiami.csv,2026,1,16,1,59,8,27.06894,-82.22377,4.42,27.0581,-81.5134,9466.84302,146.2008358,2.507249346,,,HIP 47693,146.2077157876943,2.506874772594258,7.266209068582418,90.89626502834409,7.898886919053105,91.21958307727758,70.48,9462.42302,7.646821831792657,0.043863727711143774,7.324803677487231,0.11523952364789114,7.253427881550484,-0.05859460890481305,0.05859460890481305,0.25206508726044774,,0.25206508726044774,15.751,-67.761,73.49326158537399,310.0612839909284,Globe Wins!
Jet Speed 691,012926UTweatherballoondataMiami.csv,2026,1,29,2,44,35,27.06765,-82.22612,6.2,26.5664,-82.3093,11898.24492,74.6550043,-50.53689124,,,HIP 23078,74.66289854348734,-50.53897418019951,11.591206598773198,188.15558317142322,12.09791730235363,188.11752325904524,56.15,11892.044919999998,11.957785708312985,0.033012619242072105,11.693483216881296,0.07506104017305404,11.651434795950314,-0.10227661810809785,0.10227661810809785,0.14013159404064623,,0.14013159404064623,-193.752,265.523,104.95821423579073,137.3321837678472,Globe Wins!
American Airlines 1517,012926UTweatherballoondataMiami.csv,2026,1,29,2,56,7,27.06765,-82.22612,6.2,26.3003,-81.9388,9392.168589,122.2944716,-52.69358108,,,HIP 39850,122.29967089630021,-52.69374177838527,5.4607591800065665,161.11473874526746,6.269899708265955,161.2432998243419,89.7,9385.968589,5.973425961164444,0.05631212238222538,5.564389354453807,0.14711136736058794,5.473590109475444,-0.10363017444724054,0.10363017444724054,0.2964737471015111,,0.2964737471015111,86.061,-246.175,164.29473282974823,464.1605586491443,Globe Wins!
