Target,Weather Balloon Data File,Year,Month,Day,Hour,Minute,Second,Observer Lat,Observer Lon,Observer Alt,Target Lat,Target Lon,Target Alt,RA,Dec,Apparent Alt,Apparent Az,Star Name,Star RA (Equinox of Date corrected for proper motion/aberration/nutation),Star Dec (Equinox of Date corrected for proper motion/aberration/nutation),Star Geometric Alt From Observer Location,Star Geometric Az From Observer Location,Star Geometric Alt From Target Location,Star Geometric Az From Target Location,Target Surface Distance,Target Altitude - Observer Altitude,Flat Earth Rise/Run Angle,Target Refraction,Target Apparent Elevation Globe Prediction With Refraction,Star Refraction,Star Alt With Refraction Subtracted,Globe Error (Degrees),Celestial Theodolite Error (Degrees),Flat Earth Rise/Run Error (Degrees),Globe Occultation Time Error (Seconds),Celestial Theodolite Occultation Time Error (Seconds),Globe Target Height Error (meters),Flat Earth Target Height Error (meters),Winner
Pikes Peak,012825UTweatherballoondataGrandJunction.csv,2025,1,28,2,31,40,38.9997,-104.49723,2073.68,38.840278,-105.044444,4299.8,345.6929167,-14.13361111,,,HIP 113675,345.6805135866434,-14.139887398862587,2.1086908157417943,249.8566285391608,2.5633016050321777,249.51291690957623,50.65,2226.1200000000003,2.5166336399939597,0.028811344876885858,2.3168740402085604,0.22214323038626738,2.094730809822293,0.013960005919501306,0.04666796503821802,,4.579,15.309,12.372621419969725,41.25419494200918,Globe Wins!
Pikes Peak,013125UTweatherballoondataGrandJunction.csv,2025,1,31,1,31,22,38.9997,-104.49723,2073.68,38.840278,-105.044444,4299.8,333.4545833,-14.06683333,,,HIP 109624,333.4404626270878,-14.07257387034452,2.0940777011901415,249.958932865279,2.5486847443634444,249.6152537145244,50.65,2226.1200000000003,2.5166336399939597,0.032190129626541886,2.3202528249582164,0.2254741230679418,2.0947787018902746,-0.0007010007001331253,0.03205110436948466,,-0.23,10.507,0.6212979044647354,28.33297642612597,Globe Wins!
Pikes Peak,013125UTweatherballoondataGrandJunction.csv,2025,1,31,1,36,2,38.9997,-104.49723,2073.68,38.840278,-105.044444,4299.8,334.6341667,-14.06361111,,,HIP 110030,334.6199194015895,-14.069403991765192,2.1031705623190278,249.95518780304562,2.5577777681839042,249.61150784084356,50.65,2226.1200000000003,2.5166336399939597,0.032190129626541886,2.3202528249582164,0.2254741230679418,2.0947787018902746,0.008391860428753173,0.04114412818994451,,2.751,13.488,7.437661184364184,36.37115524701469,Globe Wins!
Pikes Peak,013125UTweatherballoondataGrandJunction.csv,2025,1,31,2,19,19,38.9997,-104.49723,2073.68,38.840278,-105.044444,4299.8,345.5408333,-14.11991667,,,HIP 113631,345.5280706050637,-14.126203061153678,2.10787512276669,249.87554216484074,2.5624853287298635,249.53183663183808,50.65,2226.1200000000003,2.5166336399939597,0.032190129626541886,2.3202528249582164,0.2254741230679418,2.0947787018902746,0.013096420876415493,0.04585168873590373,,4.296,15.039,11.607242504584896,40.53261138506621,Globe Wins!
Pikes Peak,013125UTweatherballoondataGrandJunction.csv,2025,1,31,2,21,19,38.9997,-104.49723,2073.68,38.840278,-105.044444,4299.8,346.0225,-14.11477778,,,HIP 113798,346.0098817519906,-14.121054101224507,2.0969941501840603,249.8919192427891,2.5516038110264834,249.54821863447518,50.65,2226.1200000000003,2.5166336399939597,0.032190129626541886,2.3202528249582164,0.2254741230679418,2.0947787018902746,0.0022154482937857267,0.034970171032523645,,0.727,11.469,1.9635501452750053,30.91341377016378,Globe Wins!
Pikes Peak,013125UTweatherballoondataGrandJunction.csv,2025,1,31,2,52,44,38.9997,-104.49723,2073.68,38.840278,-105.044444,4299.8,353.8620833,-14.08666667,,,HIP 116319,353.85082994210137,-14.093207918091258,2.089987978461734,249.9350796408269,2.5445960246941817,249.59139265107518,50.65,2226.1200000000003,2.5166336399939597,0.032190129626541886,2.3202528249582164,0.2254741230679418,2.0947787018902746,-0.004790723428540478,0.027962384700221943,,-1.571,9.168,4.2460394277954645,24.718573115516396,Globe Wins!
Pikes Peak,013125UTweatherballoondataGrandJunction.csv,2025,1,31,2,58,27,38.9997,-104.49723,2073.68,38.840278,-105.044444,4299.8,355.2675,-14.08594444,,,HIP 116758,355.26792009209413,-14.085919278087442,2.083114372254587,249.95078679695135,2.5377217668516883,249.60710455810363,50.65,2226.1200000000003,2.5166336399939597,0.032190129626541886,2.3202528249582164,0.2254741230679418,2.0947787018902746,-0.011664329635687753,0.02108812685772854,,-3.824,6.913,10.338206635700534,18.64177155644918,Globe Wins!
Pikes Peak,013125UTweatherballoondataGrandJunction.csv,2025,1,31,3,8,28,38.9997,-104.49723,2073.68,38.840278,-105.044444,4299.8,357.95875,-14.26452778,,,HIP 117567,357.95896787829565,-14.264521394212768,2.0967867555966144,249.70126728724804,2.551400461150708,249.35750526722572,50.65,2226.1200000000003,2.5166336399939597,0.032190129626541886,2.3202528249582164,0.2254741230679418,2.0947787018902746,0.0020080537063398296,0.03476682115674823,,0.659,11.416,1.7797367879116088,30.73365370002604,Globe Wins!
Pikes Peak,013125UTweatherballoondataGrandJunction.csv,2025,1,31,3,10,51,38.9997,-104.49723,2073.68,38.840278,-105.044444,4299.8,358.44375,-14.11408333,,,HIP 117722,358.44402072513736,-14.114065338509779,2.1139311388354756,249.88637931964578,2.568540988228126,249.54267749783733,50.65,2226.1200000000003,2.5166336399939597,0.032190129626541886,2.3202528249582164,0.2254741230679418,2.0947787018902746,0.019152436945200968,0.05190734823416632,,6.282,17.024,16.97455060881546,45.88577996750396,Globe Wins!
Pikes Peak,013125UTweatherballoondataGrandJunction.csv,2025,1,31,3,45,31,38.9997,-104.49723,2073.68,38.840278,-105.044444,4299.8,7.115,-14.11202778,,,HIP 2150,7.114855813335262,-14.112015372863073,2.101006734938625,249.9004245896288,2.5556160980117064,249.55672686399365,50.65,2226.1200000000003,2.5166336399939597,0.032190129626541886,2.3202528249582164,0.2254741230679418,2.0947787018902746,0.006228033048350401,0.03898245801774669,,2.042,12.784,5.519882475135213,34.460251557456985,Globe Wins!
Pikes Peak,020125UTweatherballoondataGrandJunction.csv,2025,2,1,1,27,25,38.9997,-104.49723,2073.68,38.840278,-105.044444,4299.8,333.4545833,-14.06683333,,,HIP 109624,333.4404741435755,-14.072566955000136,2.0974289986685286,249.95600857463577,2.552036169047474,249.61232862849408,50.65,2226.1200000000003,2.5166336399939597,0.032680670730769634,2.320743366062444,0.22457642296560998,2.096166943096834,0.0012620555716944537,0.035402529053514264,,0.414,11.606,1.1185597888467358,31.29561566927479,Globe Wins!
Pikes Peak,020125UTweatherballoondataGrandJunction.csv,2025,2,1,2,15,57,38.9997,-104.49723,2073.68,38.840278,-105.044444,4299.8,345.6929167,-14.13361111,,,HIP 113675,345.6804738840135,-14.139861958529975,2.106717718379004,249.85839086074748,2.5613284554109295,249.5146797428253,50.65,2226.1200000000003,2.5166336399939597,0.032680670730769634,2.320743366062444,0.22457642296560998,2.096166943096834,0.010550775282169855,0.044694815416969735,,3.461,14.661,9.351079075315921,39.509942052276635,Globe Wins!
Pikes Peak,020125UTweatherballoondataGrandJunction.csv,2025,2,1,2,54,23,38.9997,-104.49723,2073.68,38.840278,-105.044444,4299.8,355.2675,-14.08594444,,,HIP 116758,355.26789767183607,-14.085913211339827,2.107790535324594,249.92919249263,2.562398816977521,249.5855043182021,50.65,2226.1200000000003,2.5166336399939597,0.032680670730769634,2.320743366062444,0.22457642296560998,2.096166943096834,0.011623592227759882,0.04576517698356142,,3.811,15.005,10.301900089933635,40.4561354944833,Globe Wins!
Pikes Peak,020125UTweatherballoondataGrandJunction.csv,2025,2,1,3,4,33,38.9997,-104.49723,2073.68,38.840278,-105.044444,4299.8,357.95875,-14.26452778,,,HIP 117567,357.95894175965833,-14.26451553093379,2.0940143332913257,249.70370628340547,2.5486280188971158,249.35994502574837,50.65,2226.1200000000003,2.5166336399939597,0.032680670730769634,2.320743366062444,0.22457642296560998,2.096166943096834,-0.0021526098055084653,0.03199437890315604,,-0.707,10.506,1.907863408432367,28.282831457137632,Globe Wins!
Pikes Peak,020125UTweatherballoondataGrandJunction.csv,2025,2,1,3,6,57,38.9997,-104.49723,2073.68,38.840278,-105.044444,4299.8,358.44375,-14.11408333,,,HIP 117722,358.44399389275145,-14.114059750574928,2.108105686774325,249.89148898594834,2.56271536240687,249.54778862148538,50.65,2226.1200000000003,2.5166336399939597,0.032680670730769634,2.320743366062444,0.22457642296560998,2.096166943096834,0.011938743677490926,0.04608172241291042,,3.916,15.113,10.581213607607653,40.735959830967516,Globe Wins!
Blodgett Peak,020825UTweatherballoondataGrandJunction.csv,2025,2,8,2,6,56,38.9997,-104.49723,2075.08,38.958889,-104.907222,2870.0,340.8595833,-4.968083333,,,HIP 112078,340.846928404803,-4.973041278771409,0.8711714602869642,262.8844271835941,1.1924901439686297,262.6265306239229,35.81,794.9200000000001,1.2715099951864717,0.0177283538505435,1.128084254234065,0.2906379600899973,0.8374462941440677,0.03372516614289656,-0.07901985121784194,,10.467,-24.525,21.10037177383742,49.393389034835344,Globe Wins!
Blodgett Peak,020825UTweatherballoondataGrandJunction.csv,2025,2,8,2,20,24,38.9997,-104.49723,2075.08,38.958889,-104.907222,2870.0,344.12875,-4.851138889,,,HIP 113184,344.1165988567334,-4.856115288678122,0.8632645942638729,263.04195020107744,1.1845812564357139,262.7840693904395,35.81,794.9200000000001,1.2715099951864717,0.0177283538505435,1.128084254234065,0.2906379600899973,0.8374462941440677,0.025818300119805238,-0.0869287387507578,,8.01,-26.97,16.153444038121687,54.337049709147315,Globe Wins!
Blodgett Peak,020825UTweatherballoondataGrandJunction.csv,2025,2,8,3,52,0,38.9997,-104.49723,2075.08,38.958889,-104.907222,2870.0,7.09875,-4.861666667,,,HIP 2138,7.0899903249719225,-4.866840783588187,0.8647232047474291,263.02690233233295,1.1860401649635313,262.7690200411815,35.81,794.9200000000001,1.2715099951864717,0.0177283538505435,1.128084254234065,0.2906379600899973,0.8374462941440677,0.02727691060336146,-0.08546983022294041,,8.463,-26.518,17.066025650232877,53.425119949878315,Globe Wins!
